Fecha,Promedio
01/2015,154.64
01/2016,157.66
01/2017,129.42
01/2018,140.2
01/2019,170.94
02/2015,162.7
02/2016,173.31
02/2017,126.38
02/2018,156.76
02/2019,166.82
03/2015,201.33
03/2016,190.82
03/2017,175.93
03/2018,150.58
03/2019,196.48
04/2015,180.05
04/2016,167.33
04/2017,163.79
04/2018,129.57
05/2015,177.8
05/2016,138.59
05/2017,101.16
05/2018,91.52
06/2015,146.39
06/2016,102.34
06/2017,87.16
06/2018,108.59
07/2015,150.74
07/2016,125.63
07/2017,105.08
07/2018,121.09
08/2015,164.15
08/2016,119.81
08/2017,110.34
08/2018,128.48
09/2015,118.42
09/2016,102.62
09/2017,90.92
09/2018,104.52
10/2015,110.03
10/2016,92.13
10/2017,84.66
10/2018,88.33
11/2015,106.89
11/2016,82.38
11/2017,98.59
11/2018,117.8
12/2015,137.08
12/2016,95.02
12/2017,125.83
12/2018,142.61
