Fecha,Promedio_temperatura,Promedio_humedad,Promedio_vel_viento,Suma_lluvia,Promedio_iiradiacion,Suma_evotranspiracion
01/2015,27.5383870967742,65.0048387096774,6.1341935483871,0.25,234.033225806452,154.64
01/2016,27.3935483870968,66.3961290322581,6.20709677419355,0,233.275483870968,157.66
01/2017,26.3138709677419,71.5896774193548,1.93548387096774,7.1,226.112580645161,129.42
01/2018,26.7207142857143,68.405,7.87607142857143,4.8,231.698928571429,140.2
01/2019,27.2906451612903,65.4774193548387,8.69096774193548,6.34,242.097096774194,170.94
02/2015,27.76,61.8253571428571,5.14714285714286,0,255.776785714286,162.7
02/2016,28.0727586206897,61.3710344827586,9.10310344827586,0,255.601724137931,173.31
02/2017,27.1471428571429,65.8564285714286,0.242857142857143,0,255.316785714286,126.38
02/2018,27.3715384615385,63.0007692307692,10.0557692307692,2.79,265.082692307692,156.76
02/2019,27.9707142857143,67.2292857142857,7.65571428571429,0,265.576785714286,166.82
03/2015,28.3545161290323,58.1774193548387,8.67548387096774,2.83,270.354193548387,201.33
03/2016,29.381935483871,58.9041935483871,5.98483870967742,0.5,266.348387096774,190.82
03/2017,28.2606451612903,61.4412903225806,4.96322580645161,5.82,274.585806451613,175.93
03/2018,28.2130434782609,58.6708695652174,9.01565217391304,0,286.895652173913,150.58
03/2019,28.5296774193548,63.5093548387097,8.84870967741936,0,269.923870967742,196.48
04/2015,29.263,61.8276666666667,7.22166666666667,1.52,264.643,180.05
04/2016,29.697,62.3643333333333,5.222,43.91,246.603333333333,167.33
04/2017,28.9076666666667,67.4823333333333,5.306,107.66,258.204666666667,163.79
04/2018,28.5339130434783,63.3586956521739,5.42652173913043,0.25,284.851304347826,129.57
05/2015,29.3896774193548,62.7048387096774,6.74838709677419,3.8,254.50064516129,177.8
05/2016,28.4393548387097,75.7945161290323,2.78161290322581,187.39,223.521612903226,138.59
05/2017,26.6470967741935,87.4577419354839,1.2141935483871,414.92,191.959032258065,101.16
05/2018,26.6719230769231,67.5369230769231,0.857307692307692,357.26,203.976923076923,91.52
06/2015,28.359,75.7683333333333,5.69066666666667,126.41,214.830333333333,146.39
06/2016,26.5543333333333,85.531,1.864,279.26,197.042666666667,102.34
06/2017,26.297,88.548,1.19666666666667,225.96,170.698,87.16
06/2018,26.5746666666667,63.6186666666667,2.09933333333333,241.24,202.474,108.59
07/2015,28.4367741935484,69.2109677419355,6.50064516129032,17.51,222.235483870968,150.74
07/2016,27.2154838709677,78.6129032258064,3.43935483870968,97.97,210.136129032258,125.63
07/2017,26.5709677419355,82.7803225806452,2.42129032258065,110.41,187.002258064516,105.08
07/2018,27.2203225806452,67.0361290322581,4.49677419354839,26.38,196.76,121.09
08/2015,29.2012903225806,67.3845161290323,5.97225806451613,33.77,237.990322580645,164.15
08/2016,27.0467741935484,82.5529032258064,2.21935483870968,293.79,214.793225806452,119.81
08/2017,26.5041935483871,84.5706451612903,1.42677419354839,178.95,206.041290322581,110.34
08/2018,27.2732258064516,72.0612903225806,3.49548387096774,24.57,216.054516129032,128.48
09/2015,27.6113333333333,78.7866666666667,2.27333333333333,171.65,210.038333333333,118.42
09/2016,26.195,87.0456666666667,0.916,274.22,202.249,102.62
09/2017,25.8023333333333,89.3746666666667,0.741666666666667,482.88,184.604666666667,90.92
09/2018,26.274,60.155,1.21566666666667,179.26,200.93,104.52
10/2015,26.7867741935484,85.6383870967742,1.17258064516129,427.92,209.414516129032,110.03
10/2016,25.8574193548387,89.3641935483871,0.191612903225806,274.98,181.609032258065,92.13
10/2017,25.6167741935484,87.9693548387097,1.15064516129032,533.17,160.354193548387,84.66
10/2018,25.3509677419355,61.4835483870968,1.6241935483871,410.36,164.694516129032,88.33
11/2015,26.6873333333333,83.655,1.85233333333333,130.49,202.038666666667,106.89
11/2016,25.4993333333333,88.011,0.213,205.61,166.162,82.38
11/2017,25.928,81.796,1.812,43.37,185.204,98.59
11/2018,26.7666666666667,60.437,3.47533333333333,35.01,210.988,117.8
12/2015,27.8470967741935,73.3967741935484,5.7658064516129,0,216.23064516129,137.08
12/2016,26.0248387096774,80.5906451612903,0.993548387096774,96.71,171.097419354839,95.02
12/2017,26.3238709677419,73.7367741935484,5.47193548387097,50.28,199.285483870968,125.83
12/2018,26.74,61.0664516129032,6.14612903225806,0,237.625483870968,142.61
