Fecha,Promedio
01/2015,65.0048387096774
01/2016,66.3961290322581
01/2017,71.5896774193548
01/2018,68.405
01/2019,65.4774193548387
02/2015,61.8253571428571
02/2016,61.3710344827586
02/2017,65.8564285714286
02/2018,63.0007692307692
02/2019,67.2292857142857
03/2015,58.1774193548387
03/2016,58.9041935483871
03/2017,61.4412903225806
03/2018,58.6708695652174
03/2019,63.5093548387097
04/2015,61.8276666666667
04/2016,62.3643333333333
04/2017,67.4823333333333
04/2018,63.3586956521739
05/2015,62.7048387096774
05/2016,75.7945161290323
05/2017,87.4577419354839
05/2018,67.5369230769231
06/2015,75.7683333333333
06/2016,85.531
06/2017,88.548
06/2018,63.6186666666667
07/2015,69.2109677419355
07/2016,78.6129032258064
07/2017,82.7803225806452
07/2018,67.0361290322581
08/2015,67.3845161290323
08/2016,82.5529032258064
08/2017,84.5706451612903
08/2018,72.0612903225806
09/2015,78.7866666666667
09/2016,87.0456666666667
09/2017,89.3746666666667
09/2018,60.155
10/2015,85.6383870967742
10/2016,89.3641935483871
10/2017,87.9693548387097
10/2018,61.4835483870968
11/2015,83.655
11/2016,88.011
11/2017,81.796
11/2018,60.437
12/2015,73.3967741935484
12/2016,80.5906451612903
12/2017,73.7367741935484
12/2018,61.0664516129032
