Fecha,Promedio
01/2015,234.033225806452
01/2016,233.275483870968
01/2017,226.112580645161
01/2018,231.698928571429
01/2019,242.097096774194
02/2015,255.776785714286
02/2016,255.601724137931
02/2017,255.316785714286
02/2018,265.082692307692
02/2019,265.576785714286
03/2015,270.354193548387
03/2016,266.348387096774
03/2017,274.585806451613
03/2018,286.895652173913
03/2019,269.923870967742
04/2015,264.643
04/2016,246.603333333333
04/2017,258.204666666667
04/2018,284.851304347826
05/2015,254.50064516129
05/2016,223.521612903226
05/2017,191.959032258065
05/2018,203.976923076923
06/2015,214.830333333333
06/2016,197.042666666667
06/2017,170.698
06/2018,202.474
07/2015,222.235483870968
07/2016,210.136129032258
07/2017,187.002258064516
07/2018,196.76
08/2015,237.990322580645
08/2016,214.793225806452
08/2017,206.041290322581
08/2018,216.054516129032
09/2015,210.038333333333
09/2016,202.249
09/2017,184.604666666667
09/2018,200.93
10/2015,209.414516129032
10/2016,181.609032258065
10/2017,160.354193548387
10/2018,164.694516129032
11/2015,202.038666666667
11/2016,166.162
11/2017,185.204
11/2018,210.988
12/2015,216.23064516129
12/2016,171.097419354839
12/2017,199.285483870968
12/2018,237.625483870968
